,i,j,Lon,Lat,SL,UC,Code,Error
26268944,3345,2968,111.483333333333,-8.91666666666667,-155.617699877347,-140.581511393517,108,100
26268945,3346,2968,111.516666666667,-8.91666666666667,-149.249952607954,-135.493218027884,108,100
26268946,3347,2968,111.55,-8.91666666666667,-142.98780433671,-130.516011384324,108,100
26268947,3348,2968,111.583333333333,-8.91666666666667,-137.519854269511,-125.781902282226,108,100
26268948,3349,2968,111.616666666667,-8.91666666666667,-132.436657402883,-121.247618376947,108,100
26268949,3350,2968,111.65,-8.91666666666667,-127.297750938196,-116.75210254263,108,100
26268950,3351,2968,111.683333333333,-8.91666666666667,-122.070210302734,-112.20051057926,108,100
26268951,3352,2968,111.716666666667,-8.91666666666667,-116.268112332873,-107.668611466555,108,100
26268952,3353,2968,111.75,-8.91666666666667,-110.734146362236,-103.420262124604,108,100
26268953,3354,2968,111.783333333333,-8.91666666666667,-106.673904575772,-99.7072954636748,108,100
26268954,3355,2968,111.816666666667,-8.91666666666667,-103.949714940835,-96.5474345851518,108,100
26268955,3356,2968,111.85,-8.91666666666667,-101.568016844389,-93.7917203020191,108,100
26268956,3357,2968,111.883333333333,-8.91666666666667,-98.6993733861323,-91.2969262214644,108,100
26268957,3358,2968,111.916666666667,-8.91666666666667,-95.0027992605191,-88.9465381665622,108,100
26268958,3359,2968,111.95,-8.91666666666667,-91.4980956445762,-86.7996759361902,108,100
26268959,3360,2968,111.983333333333,-8.91666666666667,-89.8668453750589,-85.1678232158131,108,100
26268960,3361,2968,112.016666666667,-8.91666666666667,-89.5089822466065,-84.2868484056545,108,100
26268961,3362,2968,112.05,-8.91666666666667,-89.5833121100486,-84.3706090450404,108,100
26268962,3363,2968,112.083333333333,-8.91666666666667,-90.9575702702147,-85.473134302461,108,100
26268963,3364,2968,112.116666666667,-8.91666666666667,-92.2323941139167,-86.5528275759443,108,100
26268964,3365,2968,112.15,-8.91666666666667,-92.772781625184,-87.0374967156309,108,100
26268965,3366,2968,112.183333333333,-8.91666666666667,-94.364743003301,-87.8441799920225,108,100
26268966,3367,2968,112.216666666667,-8.91666666666667,-96.2051206372621,-89.2411932895807,108,100
26268967,3368,2968,112.25,-8.91666666666667,-97.602464889308,-90.7511179570437,108,100
26268968,3369,2968,112.283333333333,-8.91666666666667,-98.7674520313927,-92.2530364029535,108,100
26268969,3370,2968,112.316666666667,-8.91666666666667,-100.163797709216,-93.9080893718461,108,100
26268970,3371,2968,112.35,-8.91666666666667,-102.487916095652,-96.0057498579541,108,100
26268971,3372,2968,112.383333333333,-8.91666666666667,-105.742968868603,-98.3340053491597,108,100
26268972,3373,2968,112.416666666667,-8.91666666666667,-107.504467494014,-99.5128934365666,108,100
26268973,3374,2968,112.45,-8.91666666666667,-105.870396674733,-98.9403957773718,108,100
