,i,j,Lon,Lat,SL,UC,Code,Error
26495793,3394,2947,113.116666666667,-8.21666666666667,-16.496017445065,-14.985517445065,13,212
26495794,3395,2947,113.15,-8.21666666666667,-5.2963493016,-3.830729301616,13,212
26495795,3396,2947,113.183333333333,-8.21666666666667,2.157685526666,3.57465552666601,13,212
26495796,3397,2947,113.216666666667,-8.21666666666667,8.17161591454,9.53634591454001,13,212
26495797,3398,2947,113.25,-8.21666666666667,16.329394635481,17.638474635464,13,212
26506577,3378,2946,112.583333333333,-8.18333333333334,23.2117404360922,24.478130436128,13,212
26506578,3379,2946,112.616666666667,-8.18333333333334,11.149213732131,12.453373732141,13,212
26506579,3380,2946,112.65,-8.18333333333334,13.794048030642,15.131108030642,13,212
26506580,3381,2946,112.683333333333,-8.18333333333334,29.4544561266636,30.8194661266264,13,212
26506581,3382,2946,112.716666666667,-8.18333333333334,52.1540890890975,53.5420790890975,13,212
26506582,3383,2946,112.75,-8.18333333333334,72.9591643605595,74.3651343605595,13,212
26506583,3384,2946,112.783333333333,-8.18333333333334,85.3431302658763,86.7620902658635,13,212
26506584,3385,2946,112.816666666667,-8.18333333333334,85.493087620694,86.920047620694,13,212
26506585,3386,2946,112.85,-8.18333333333334,68.9890608216062,70.4190508216062,13,212
26506586,3387,2946,112.883333333333,-8.18333333333334,44.5108150423704,45.9389250424135,13,212
26506587,3388,2946,112.916666666667,-8.18333333333334,26.8045399667127,28.2259099667127,13,212
26506588,3389,2946,112.95,-8.18333333333334,11.292360847912,12.702200847912,13,212
26506589,3390,2946,112.983333333333,-8.18333333333334,-8.458354690208,-7.06475469020801,13,212
26506590,3391,2946,113.016666666667,-8.18333333333334,-23.443491719264,-22.070721719264,13,212
26506591,3392,2946,113.05,-8.18333333333334,-28.620780252248,-27.273330252246,13,212
26506592,3393,2946,113.083333333333,-8.18333333333334,-29.077554073658,-27.759774073658,13,212
26506593,3394,2946,113.116666666667,-8.18333333333334,-30.595437625301,-29.311547625301,13,212
26506594,3395,2946,113.15,-8.18333333333334,-33.531816912685,-32.285886912679,13,212
26506595,3396,2946,113.183333333333,-8.18333333333334,-35.484190336848,-34.280120336848,13,212
26506596,3397,2946,113.216666666667,-8.18333333333334,-35.268558726944,-34.110078726944,13,212
26506597,3398,2946,113.25,-8.18333333333334,-29.433212743228,-28.323862743246,13,212
26517377,3378,2945,112.583333333333,-8.15000000000001,11.888969573044,12.813199573086,13,212
26517378,3379,2945,112.616666666667,-8.15000000000001,-3.482168911499,-2.513298911482,13,212
26517379,3380,2945,112.65,-8.15000000000001,-3.76964834114901,-2.76089834114902,13,212
26517380,3381,2945,112.683333333333,-8.15000000000001,10.111556798004,11.155346797968,13,212
26517381,3382,2945,112.716666666667,-8.15000000000001,32.9528875232854,34.0268375232854,13,212
26517382,3383,2945,112.75,-8.15000000000001,56.1982450468426,57.2974250468426,13,212
26517383,3384,2945,112.783333333333,-8.15000000000001,73.3306186892341,74.4500886892105,13,212
26517384,3385,2945,112.816666666667,-8.15000000000001,79.6161566290195,80.7509666290195,13,212
26517385,3386,2945,112.85,-8.15000000000001,68.3618781496826,69.5070881496826,13,212
26517386,3387,2945,112.883333333333,-8.15000000000001,46.2130198355453,47.3637198355872,13,212
26517387,3388,2945,112.916666666667,-8.15000000000001,29.109590402303,30.260920402303,13,212
26517388,3389,2945,112.95,-8.15000000000001,16.563827530148,17.710967530148,13,212
26517389,3390,2945,112.983333333333,-8.15000000000001,0.959337071333977,2.09754707133399,13,212
26517390,3391,2945,113.016666666667,-8.15000000000001,-16.920038494218,-15.795398494218,13,212
26517391,3392,2945,113.05,-8.15000000000001,-34.351154712537,-33.244644712506,13,212
